lu_id	country_region	province_state	date	confirmed	recovered	deaths	tested	tested_reported	tested_announced	tested_extrapolated	tested_is_extrapolated	lag_21_confirmed	probably_recovered	active	lag_1_confirmed	lag_1_recovered	lag_1_deaths	lag_1_tested	lag_1_active	lag_1_tested_is_extrapolated	lag_7_confirmed	lag_7_recovered	lag_7_deaths	lag_7_tested	lag_7_active	lag_7_tested_is_extrapolated
0	Afghanistan		2020-07-13	34455	21254	1012	0.0	0.0	0.0	0.0	1	29157.0	6891.0	5298.0	34451.0	21216.0	1010.0	0.0	5618.0	1.0	33190.0	20103.0	898.0	0.0	7663.0	1.0
1	Albania		2020-07-13	3571	2014	95	0.0	0.0	0.0	0.0	1	1995.0	0.0	1462.0	3454.0	1946.0	93.0	0.0	1415.0	1.0	2964.0	1702.0	79.0	0.0	1183.0	1.0
2	Algeria		2020-07-13	19689	14019	1018	0.0	0.0	0.0	0.0	1	11920.0	0.0	4652.0	19195.0	13743.0	1011.0	0.0	4441.0	1.0	16404.0	11884.0	959.0	0.0	3561.0	1.0
3	Andorra		2020-07-13	858	803	52	0.0	0.0	0.0	0.0	1	855.0	0.0	3.0	855.0	803.0	52.0	0.0	0.0	1.0	855.0	800.0	52.0	0.0	2.0	1.0
4	Angola		2020-07-13	525	118	26	0.0	0.0	0.0	0.0	1	186.0	42.0	339.0	506.0	118.0	26.0	0.0	323.0	1.0	346.0	108.0	19.0	0.0	204.0	1.0
5	Antigua and Barbuda		2020-07-13	74	57	3	0.0	0.0	0.0	0.0	1	26.0	0.0	14.0	74.0	57.0	3.0	0.0	14.0	1.0	70.0	23.0	3.0	0.0	44.0	1.0
6	Argentina		2020-07-13	103265	44173	1903	474422.0	474422.0	474422.0	0.0	0	44931.0	0.0	57189.0	100166.0	42694.0	1845.0	466308.0	55627.0	0.0	80447.0	28531.0	1582.0	406210.0	47662.0	0.0
7	Armenia		2020-07-13	32151	19865	573	0.0	0.0	0.0	0.0	1	20588.0	150.0	11563.0	31969.0	19633.0	565.0	0.0	11701.0	1.0	28936.0	16302.0	491.0	0.0	11872.0	1.0
676	Australia		2020-07-13	10251	7835	108	3123943.0	0.0	3021493.0	102450.0	1	7492.0	0.0	2308.0	9980.0	7769.0	108.0	3072718.0	2103.0	1.0	8755.0	7455.0	106.0	2759165.0	1194.0	0.0
8	Austria		2020-07-13	18948	17000	708	700616.0	700616.0	700616.0	0.0	0	17380.0	0.0	1240.0	18897.0	16952.0	708.0	696740.0	1237.0	0.0	18365.0	16647.0	706.0	654105.0	1012.0	0.0
9	Azerbaijan		2020-07-13	24570	15640	313	0.0	0.0	0.0	0.0	1	13207.0	0.0	8617.0	24041.0	15093.0	306.0	0.0	8642.0	1.0	20837.0	12182.0	258.0	0.0	8397.0	1.0
10	Bahamas		2020-07-13	113	91	11	0.0	0.0	0.0	0.0	1	104.0	2.0	9.0	111.0	89.0	11.0	0.0	7.0	1.0	104.0	89.0	11.0	0.0	1.0	1.0
11	Bahrain		2020-07-13	33476	29099	109	666248.0	666248.0	666248.0	0.0	0	22407.0	0.0	4268.0	32941.0	28425.0	108.0	656659.0	4408.0	0.0	29821.0	25178.0	98.0	612096.0	4545.0	0.0
12	Bangladesh		2020-07-13	186894	98317	2391	954824.0	0.0	932456.0	22368.0	1	115786.0	15078.0	71108.0	183795.0	93614.0	2352.0	943640.0	71489.0	1.0	165618.0	76149.0	2096.0	863307.0	74999.0	0.0
13	Barbados		2020-07-13	103	90	7	0.0	0.0	0.0	0.0	1	97.0	0.0	6.0	103.0	90.0	7.0	0.0	6.0	1.0	98.0	90.0	7.0	0.0	1.0	1.0
14	Belarus		2020-07-13	65114	55492	468	1144722.0	0.0	1134653.0	10069.0	1	59023.0	3063.0	6091.0	64932.0	55380.0	464.0	1134653.0	6427.0	0.0	63804.0	51120.0	429.0	1074240.0	9124.0	0.0
15	Belgium		2020-07-13	62707	17196	9782	1081498.0	0.0	1052518.0	28980.0	1	60550.0	33572.0	2157.0	62707.0	17196.0	9782.0	1074253.0	2157.0	1.0	62058.0	17091.0	9774.0	1026045.0	1958.0	0.0
16	Belize		2020-07-13	37	20	2	0.0	0.0	0.0	0.0	1	23.0	1.0	14.0	37.0	20.0	2.0	0.0	15.0	1.0	30.0	19.0	2.0	0.0	9.0	1.0
17	Benin		2020-07-13	1378	557	26	0.0	0.0	0.0	0.0	1	807.0	224.0	571.0	1378.0	557.0	26.0	0.0	613.0	1.0	1199.0	333.0	21.0	0.0	716.0	1.0
18	Bhutan		2020-07-13	84	76	0	0.0	0.0	0.0	0.0	1	68.0	0.0	8.0	84.0	76.0	0.0	0.0	8.0	1.0	80.0	53.0	0.0	0.0	13.0	1.0
19	Bolivia		2020-07-13	49250	15294	1866	103492.0	0.0	101623.0	1869.0	1	25493.0	8333.0	23757.0	48187.0	14843.0	1807.0	101623.0	23799.0	0.0	40509.0	11929.0	1476.0	88818.0	21436.0	0.0
20	Bosnia and Herzegovina		2020-07-13	6981	3179	226	0.0	0.0	0.0	0.0	1	3525.0	120.0	3456.0	6877.0	3115.0	221.0	0.0	3541.0	1.0	5458.0	2598.0	199.0	0.0	2418.0	1.0
21	Botswana		2020-07-13	399	38	1	0.0	0.0	0.0	0.0	1	89.0	50.0	310.0	399.0	38.0	1.0	0.0	310.0	1.0	314.0	31.0	1.0	0.0	254.0	1.0
22	Brazil		2020-07-13	1884967	1291251	72833	1882350.0	0.0	1478671.0	403679.0	1	1106470.0	0.0	520883.0	1864681.0	1264843.0	72100.0	1851298.0	527738.0	1.0	1623284.0	1062542.0	65487.0	1664984.0	495255.0	1.0
51	Brunei		2020-07-13	141	138	3	0.0	0.0	0.0	0.0	1	141.0	0.0	0.0	141.0	138.0	3.0	0.0	0.0	1.0	141.0	138.0	3.0	0.0	0.0	1.0
52	Bulgaria		2020-07-13	7411	3517	276	177942.0	0.0	175136.0	2806.0	1	3984.0	191.0	3427.0	7252.0	3319.0	268.0	175136.0	3347.0	0.0	5914.0	3000.0	250.0	156351.0	2573.0	0.0
53	Burkina Faso		2020-07-13	1036	869	53	0.0	0.0	0.0	0.0	1	903.0	0.0	114.0	1036.0	869.0	53.0	0.0	114.0	1.0	1000.0	858.0	53.0	0.0	89.0	1.0
54	Burma		2020-07-13	336	261	6	96629.0	0.0	89913.0	6716.0	1	291.0	24.0	45.0	331.0	261.0	6.0	94950.0	41.0	1.0	316.0	245.0	6.0	85647.0	54.0	1.0
55	Burundi		2020-07-13	269	207	1	0.0	0.0	0.0	0.0	1	144.0	0.0	61.0	191.0	118.0	1.0	0.0	47.0	1.0	191.0	118.0	1.0	0.0	72.0	1.0
56	Cabo Verde		2020-07-13	1698	748	19	0.0	0.0	0.0	0.0	1	944.0	177.0	754.0	1623.0	748.0	19.0	0.0	733.0	1.0	1463.0	722.0	17.0	0.0	703.0	1.0
57	Cambodia		2020-07-13	165	133	0	0.0	0.0	0.0	0.0	1	130.0	0.0	32.0	156.0	133.0	0.0	0.0	23.0	1.0	141.0	131.0	0.0	0.0	10.0	1.0
58	Cameroon		2020-07-13	15173	11928	359	0.0	0.0	0.0	0.0	1	12041.0	0.0	2886.0	15173.0	11928.0	359.0	0.0	2886.0	1.0	12592.0	10100.0	313.0	0.0	2179.0	1.0
685	Canada		2020-07-13	109984	73381	8836	3212803.0	3212803.0	3212803.0	0.0	0	103418.0	21201.0	6566.0	109348.0	72954.0	8829.0	3183440.0	6270.0	0.0	107815.0	71141.0	8748.0	2940849.0	7052.0	0.0
59	Central African Republic		2020-07-13	4321	1208	53	0.0	0.0	0.0	0.0	1	2963.0	1702.0	1358.0	4288.0	1145.0	53.0	0.0	1480.0	1.0	4033.0	970.0	52.0	0.0	1811.0	1.0
60	Chad		2020-07-13	880	792	75	0.0	0.0	0.0	0.0	1	858.0	0.0	13.0	880.0	790.0	75.0	0.0	15.0	1.0	872.0	787.0	74.0	0.0	11.0	1.0
61	Chile		2020-07-13	317657	286556	7024	1310265.0	1310265.0	1310265.0	0.0	0	246963.0	0.0	24077.0	315041.0	283902.0	6979.0	1292798.0	24160.0	0.0	298557.0	264378.0	6384.0	1198261.0	27795.0	0.0
701	China		2020-07-13	85117	79907	4641	0.0	0.0	0.0	0.0	1	84624.0	76.0	493.0	85117.0	79907.0	4641.0	0.0	545.0	1.0	84889.0	79725.0	4641.0	0.0	511.0	1.0
79	Colombia		2020-07-13	150445	63451	5634	1056367.0	0.0	1031230.0	25137.0	1	71367.0	2282.0	79078.0	145362.0	61186.0	5426.0	1031230.0	76526.0	0.0	117412.0	47961.0	4305.0	881190.0	64244.0	0.0
116	Comoros		2020-07-13	317	296	7	0.0	0.0	0.0	0.0	1	247.0	0.0	14.0	317.0	296.0	7.0	0.0	14.0	1.0	311.0	266.0	7.0	0.0	38.0	1.0
114	Congo (Brazzaville)		2020-07-13	2028	589	47	0.0	0.0	0.0	0.0	1	1087.0	451.0	941.0	2028.0	589.0	47.0	0.0	1145.0	1.0	1557.0	501.0	44.0	0.0	674.0	1.0
115	Congo (Kinshasa)		2020-07-13	8075	3620	190	0.0	0.0	0.0	0.0	1	5924.0	2114.0	2151.0	8033.0	3615.0	189.0	0.0	2207.0	1.0	7432.0	3226.0	182.0	0.0	2595.0	1.0
117	Costa Rica		2020-07-13	8036	2304	34	49040.0	0.0	45850.0	3190.0	1	2277.0	0.0	5698.0	7596.0	2239.0	30.0	47445.0	5327.0	1.0	5241.0	1776.0	23.0	38788.0	3442.0	0.0
118	Cote d'Ivoire		2020-07-13	12872	6810	84	0.0	0.0	0.0	0.0	1	7677.0	783.0	5195.0	12766.0	6654.0	84.0	0.0	5274.0	1.0	10966.0	5384.0	75.0	0.0	5507.0	1.0
119	Croatia		2020-07-13	3775	2514	119	94175.0	94175.0	94175.0	0.0	0	2336.0	0.0	1142.0	3722.0	2486.0	119.0	93571.0	1117.0	0.0	3220.0	2210.0	113.0	85997.0	897.0	0.0
120	Cuba		2020-07-13	2428	2268	87	211076.0	0.0	208098.0	2978.0	1	2315.0	0.0	73.0	2426.0	2258.0	87.0	208098.0	81.0	0.0	2380.0	2234.0	86.0	189599.0	60.0	0.0
121	Cyprus		2020-07-13	1022	839	19	0.0	0.0	0.0	0.0	1	988.0	130.0	34.0	1021.0	839.0	19.0	0.0	35.0	1.0	1004.0	839.0	19.0	0.0	19.0	1.0
122	Czechia		2020-07-13	13238	8373	353	600083.0	0.0	598642.0	1441.0	1	10523.0	1797.0	2715.0	13174.0	8247.0	352.0	598642.0	2676.0	0.0	12566.0	7873.0	350.0	575381.0	2502.0	0.0
123	Denmark		2020-07-13	13037	12130	610	1225500.0	0.0	1222188.0	3312.0	1	12527.0	0.0	297.0	12946.0	12077.0	609.0	1222188.0	260.0	0.0	12878.0	11935.0	607.0	1149140.0	336.0	0.0
124	Denmark	Faroe Islands	2020-07-13	188	188	0	0.0	0.0	0.0	0.0	1	187.0	0.0	0.0	188.0	188.0	0.0	0.0	0.0	1.0	188.0	187.0	0.0	0.0	1.0	1.0
125	Denmark	Greenland	2020-07-13	13	13	0	0.0	0.0	0.0	0.0	1	13.0	0.0	0.0	13.0	13.0	0.0	0.0	0.0	1.0	13.0	13.0	0.0	0.0	0.0	1.0
127	Djibouti		2020-07-13	4977	4729	56	0.0	0.0	0.0	0.0	1	4599.0	0.0	192.0	4972.0	4712.0	56.0	0.0	204.0	1.0	4822.0	4610.0	55.0	0.0	157.0	1.0
128	Dominica		2020-07-13	18	18	0	0.0	0.0	0.0	0.0	1	18.0	0.0	0.0	18.0	18.0	0.0	0.0	0.0	1.0	18.0	18.0	0.0	0.0	0.0	1.0
129	Dominican Republic		2020-07-13	45506	22441	903	0.0	0.0	0.0	0.0	1	27370.0	4026.0	18136.0	44532.0	21459.0	897.0	0.0	17855.0	1.0	38128.0	19489.0	804.0	0.0	14857.0	1.0
130	Ecuador		2020-07-13	68459	30369	5063	141501.0	0.0	139271.0	2230.0	1	50640.0	15208.0	17819.0	67870.0	30283.0	5047.0	139271.0	17230.0	0.0	62380.0	28872.0	4821.0	126699.0	15058.0	0.0
131	Egypt		2020-07-13	83001	24975	3935	0.0	0.0	0.0	0.0	1	56809.0	27899.0	26192.0	82070.0	24419.0	3858.0	0.0	26837.0	1.0	76222.0	21238.0	3422.0	0.0	29933.0	1.0
132	El Salvador		2020-07-13	9978	5732	267	197036.0	0.0	189746.0	7290.0	1	4808.0	0.0	3979.0	9674.0	5634.0	260.0	194606.0	3780.0	1.0	8027.0	4730.0	223.0	179862.0	3074.0	0.0
133	Equatorial Guinea		2020-07-13	3071	842	51	0.0	0.0	0.0	0.0	1	1664.0	771.0	1407.0	3071.0	842.0	51.0	0.0	1407.0	1.0	3071.0	842.0	51.0	0.0	1765.0	1.0
134	Eritrea		2020-07-13	232	107	0	0.0	0.0	0.0	0.0	1	143.0	36.0	89.0	232.0	107.0	0.0	0.0	89.0	1.0	215.0	56.0	0.0	0.0	106.0	1.0
135	Estonia		2020-07-13	2014	1895	69	112395.0	0.0	112175.0	220.0	1	1981.0	17.0	33.0	2014.0	1895.0	69.0	112175.0	33.0	0.0	1994.0	1875.0	69.0	109969.0	20.0	0.0
136	Eswatini		2020-07-13	1389	688	20	0.0	0.0	0.0	0.0	1	643.0	0.0	681.0	1351.0	668.0	20.0	0.0	663.0	1.0	1011.0	564.0	13.0	0.0	434.0	1.0
